What are you hoping to gain from the community?,What are you hoping to gain from the community - SUMMARY,How did you hear about Underdog Devs,
Get a mentor that will lead to job.,Job Search Help,,Job Search Help
to be a great problem solver,Pair Programming/ Coding Practice,,Tech Industry Coaching
I want to take the essential advantage of gaining the knowledge. ,Pair Programming/ Coding Practice,,Pair Programming/ Coding Practice
"I want to learn more, develop my skills and be able to get my startup off ground as well as impact the underdogdev community","Tech Industry Coaching, Pair Programming/ Coding Practice",,
Become a better developer and help others in return ,Pair Programming/ Coding Practice,,
"Mentors to help with navigating the tech space and a software engineer changing careers. Community to network and learn from, teachers and friends. People who look like me that I can be inspired by. ","Job Search Help, Tech Industry Coaching",Twitter,
To achieve my Dream by becoming a Full Stack Engineer,"Job Search Help, Tech Industry Coaching, Pair Programming/ Coding Practice",,
Upskill and get a job and then help others do same,"Job Search Help, Pair Programming/ Coding Practice",,
"Being an immigrant from Eastern Europe, I know it’s hard the get a good job without college degree, English as a secondary language and huge cultural difference you have to learn through your experience. So I’m trying to compensate this with the hard work and constant self-education. But I understand that my situation is not even close to the people who experienced loosing their freedom and now being judged based on the past or current situation.
I can only complain that I can’t afford something like bootcamp because I have to support my family here and abroad.
At the same time I’m tired of learning on my own and feel like I stuck with the “tutorial trap” - definitely need some help and guidance from people from industry to complete the final steps to be ready to apply for a job. Since I already have some knowledge I think I can help other people who just started their iOS journey with understanding basic concepts. It would be great to meet new people from the community and of course learn as a part of the group. I really enjoyed the friendly atmosphere and spirit of one of the webinars about the interview process you guys did last year. And if I ever will be good enough to become a mentor, you can count on me.",,Twitter (Fernando @fromjrtosr).,
I am looking to further my knowledge of computer coding and get recourses and guidance to pursue  my dream career of software engineering  ,"Job Search Help, Pair Programming/ Coding Practice",I heard about underdogs dev from my friend Marcellino (Lino) Ornelas who works at slack,
I am hoping to be able to advance in the company I am currently with to be able to show that there is no such thing as a failure! I want to help be the example that no matter the past that anyone can change and become a shining star!,"Tech Industry Coaching, Pair Programming/ Coding Practice",,
Mentorship & tuning of skills to the point where I'm employable,"Job Search Help, Pair Programming/ Coding Practice",,
"Connections, advice/strategy, sharpening my skills","Tech Industry Coaching, Pair Programming/ Coding Practice",,
Network and get better opportunities ,,,
Im looking to gain skills that will not just help me and the situation i'm in but also the situation of my family and friends around me.And in the end help other that where formally incarcerated as well break into tech!,"Job Search Help, Tech Industry Coaching, Pair Programming/ Coding Practice",,
Values and networking,,,
Support and Advice regarding getting a web dev job in the US,"Job Search Help, Tech Industry Coaching",,
Mentorship to help and support me on my journey ,"Job Search Help, Tech Industry Coaching",Twitter ,
"I want to learn as much as I can; get a good job; and be a productive member of society. Once I'm a strong position, I plan on helping others achieve the same goals. Developing a specialized set of technical skills is the best path forward for me and I want a better life.","Job Search Help, Tech Industry Coaching, Pair Programming/ Coding Practice",,
Some guidance on possibly freelancing instead of working for someone else,"Job Search Help, Tech Industry Coaching",,
I would like to establish a career in the technology field.,"Job Search Help, Tech Industry Coaching, Pair Programming/ Coding Practice",,
hands on practice experience,Pair Programming/ Coding Practice,in a podcast show,
"Connect with those in similar positions to mine and make it a powerhouse for those of us felons hell bent on succeeding, in one of the most lucrative and challenging fields of today. I hope to never have to go back to putting myself in danger to survive and be able to appreciate life to the fullest with my loved ones while also being able to take care of them financially.",,,
peers,,,
Anything that could potentially help me aquire employment in the tech field.,,,
Work and a supportive community ,,,
It would be great to get a little bit of guidance. and constructive criticism to improve my abilities and give my efforts a bit of direction.,,,
Mentorship and help to become a better person and help others too,,,
N/A,,,
I'm hoping to continue to grow as a dev and be able to free myself from menial jobs since I have a computer science degree.,,,
"To get support, and ended up as a fulstack dev",,,
Good relationships and some help with projects,,Twitter,
I'm hoping my skills and experience are a good fit so I can help others. I've always enjoyed going out of my way to do work for those who I think deserve it.,,Twitter,
To become a competent coder and start a successful career. ,,,
My son was hoping to receive mentorship through zoom sessions. ,,,
A good job and community,,Twitter,
"Learn how to code, use this skill to land a job.",,,
community support,,Twitter,
"Build portfolio, be reviewed and prepare for coding interviews for jobs that wouldn’t discriminate due to my criminal history. ",,Traversy media,
A foot into the development field and connecting with genuine people. ,,,
My goal is to bring back that passion I had years ago on college and keep growing and learning on the backend side and in other technologies. As well to help others who find themselves in the same spot like me,,,
A sense of belonging. A community that believes truly in second chances for all. I hope to gain the chance to meet great people down on their luck making change just like I believe I can.,,Twitter,
Hope,,,
Networking,,,
Support to find a full time coding position,,,
"I hope this community to be very supportive to me psychologically, emotionally, financially and pave my way to be a successful software developer despite not having a university degree, I just want to welcomed and appreciated ",,,
"I am hoping to gain new skills , sharping those i have and someone who i can learn from , where i can feel confident in my skills and help me understand , and built skills so i canhelp someone else .",,,
To learn from expert in the tech industry,,,
"Software development skills, job etc.",,I heard it from a youtuber called Traversy Media ,
"The most important thing I'll gain from this community is that I'll have a chance to meet software industry experts, learn from them and have a right direction towards achieving my goals in software industry.",,,
"Someone to keep me in check I think. Since graduating my bootcamp, I've had a really hard time staying focused. I got really deflated looking at the job hunting process. So getting someone to help me get on the right track would be amazing.",,,
The chance to interact with other programmers and help with job searching/interview preparedness.,,,
I hope to resume my abilities in teaching someone else as I begin teach,,A friend to me about you,
"Networking with companies that are ""felony friendly"" ",,,
A career with colleagues and support,,Facebook group ,
Support. I am 3 years into a successful start as a Data Analyst (now a Data analyst II) for a F500 benefits/enrollment software company. In 5 months this stupid thing will be expunged. In 4 months I will be done with a CS degree. I would also like to help out when I get where I am going. I never want kids in the future to be this harshly penalized for childish mistakes.,,Reddit,
"I've been investing all of the time that I've had for the last 6 months to learning Software Engineering, I have a 9 month old daughter that I am trying to support and am very far in debt due to the past. I've put all of my chips in and I will do everything can to succeed. I'm just looking for all of the assistance and networking that I can find that is available to me to hopefully make the interview process as painless as possible.",,,
Assistance and guidance in finding employment,,,
Change of careers and paying it forward in the future.,,,
"Experience and knowledge are the main things I’m looking for, although I would love to make a career out of this.",,,
"A Path, direction, something valuable from the industry experts. I wanted to start my Web Development and  freelancing business and agency and I wanted to know what skills and in what depth I need to learn to create that. Then slowly stack skills upon it like Digital Marketing, Consultancy and Copywriting.",,,
Join a community with the same background as me and learn Web Development from people that have been in the same situation as me.,,,
"I hope to be able to get a job in software development, something I've always wanted to do.",,,
Employment history and programming experience. I have some dream projects I want to develop but I need to develop my programming skills.,,,
An opportunity to grow my professional network and to utilize the skillset I've acquired though my professional and academic career since being released from prison. ,,,
Felon friendly companies ,,,
I am hoping to be able to gain the skills needed to get a full/part-time job in tech or even start a tech business.,,,
To be able to be good at coding,,,
Hands-on training and learning by building... ,,,
"I need someone to believe in me, vouch for my talent so I can get in the door to this industry.",,,
